모델,점수,순위,참고,RTX 4090
Gemini 3.0 Pro (Thinking),99.25,1,[https://wikidocs.net/309823](https://wikidocs.net/309823),FALSE
Gemini 2.5 Pro,98.25,2,[https://wikidocs.net/292639](https://wikidocs.net/292639),FALSE
ChatGPT 4.5,95.57,3,[https://wikidocs.net/277775](https://wikidocs.net/277775),FALSE
Claude Sonnet 4,88.65,4,[https://wikidocs.net/292642](https://wikidocs.net/292642),FALSE
Grok 4,88.60,5,[https://wikidocs.net/301280](https://wikidocs.net/301280),FALSE
ChatGPT o4-mini,84.08,6,[https://wikidocs.net/282149](https://wikidocs.net/282149),FALSE
GPT-5,81.90,7,[https://wikidocs.net/292636](https://wikidocs.net/292636),FALSE
Claude 3.7 Sonnet,81.31,8,[https://wikidocs.net/277152](https://wikidocs.net/277152),FALSE
Gemini 1.5 Pro,80.80,9,[https://wikidocs.net/273168](https://wikidocs.net/273168),FALSE
Claude 3.5 Sonnet,80.74,10,[https://wikidocs.net/274583](https://wikidocs.net/274583),FALSE
Claude Opus 4.1,80.03,11,[https://wikidocs.net/293117](https://wikidocs.net/293117),FALSE
Claude 3 Opus,79.60,12,[https://wikidocs.net/232992](https://wikidocs.net/232992),FALSE
ChatGPT 4o,78.46,13,[https://wikidocs.net/239517](https://wikidocs.net/239517),FALSE
ChatGPT o3-mini,76.40,14,[https://wikidocs.net/274756](https://wikidocs.net/274756),FALSE
Gemini 2.0 Flash,76.29,15,[https://wikidocs.net/274763](https://wikidocs.net/274763),FALSE
Gemma 4 (26B),76.20,16,[https://wikidocs.net/340029](https://wikidocs.net/340029),TRUE
Grok 4 Fast,74.88,17,[https://wikidocs.net/301261](https://wikidocs.net/301261),FALSE
Grok 2,73.74,18,[https://wikidocs.net/276582](https://wikidocs.net/276582),FALSE
ChatGPT 4o mini,71.89,19,[https://wikidocs.net/273425](https://wikidocs.net/273425),FALSE
gemma-3-27b-it@q4_k_m,71.71,20,[https://wikidocs.net/278454](https://wikidocs.net/278454),TRUE
Gemini 2.0 Flash Experimental,71.66,21,[https://wikidocs.net/274581](https://wikidocs.net/274581),FALSE
ChatGPT 4.1,71.60,22,[https://wikidocs.net/285456](https://wikidocs.net/285456),FALSE
CLOVA X,70.51,23,[https://wikidocs.net/226117](https://wikidocs.net/226117),FALSE
DeepSeek-V3,69.03,24,[https://wikidocs.net/274578](https://wikidocs.net/274578),FALSE
Grok 3,67.97,25,[https://wikidocs.net/276589](https://wikidocs.net/276589),FALSE
Qwen3-32B-GGUF,65.97,26,[https://wikidocs.net/284013](https://wikidocs.net/284013),TRUE
