42dot_LLM,
스킬,값
언어유창성,0.19
문법,0.10
담화조절,0.43
문화맥락,0.21
지식정확성,0.09
추론,0.02
정보검색,0.09
형식준수,0.26
번역,0.06
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
ChatGPT(GPT-3.5),
스킬,값
언어유창성,0.34
문법,0.18
담화조절,0.41
문화맥락,0.29
지식정확성,0.37
추론,0.15
정보검색,0.22
형식준수,0.73
번역,0.00
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Bard,
스킬,값
언어유창성,0.56
문법,0.54
담화조절,1.00
문화맥락,0.64
지식정확성,0.41
추론,0.30
정보검색,0.03
형식준수,0.80
번역,0.38
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
뤼튼(GPT-3.5),
스킬,값
언어유창성,0.31
문법,0.25
담화조절,1.00
문화맥락,0.23
지식정확성,0.41
추론,0.16
정보검색,0.22
형식준수,0.80
번역,0.38
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
KULLM(구름) 5.8B,
스킬,값
언어유창성,0.21
문법,0.13
담화조절,0.20
문화맥락,0.29
지식정확성,0.27
추론,0.04
정보검색,0.22
형식준수,0.29
번역,0.12
방언,0.86
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
ChatGPT(GPT-4),
스킬,값
언어유창성,0.54
문법,0.25
담화조절,1.00
문화맥락,0.72
지식정확성,0.48
추론,0.35
정보검색,0.12
형식준수,0.80
번역,0.38
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Bing 채팅,
스킬,값
언어유창성,0.39
문법,0.25
담화조절,0.68
문화맥락,0.41
지식정확성,0.33
추론,0.07
정보검색,0.16
형식준수,0.78
번역,0.12
방언,0.92
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
CLOVA X,
스킬,값
언어유창성,0.70
문법,0.25
담화조절,0.68
문화맥락,0.99
지식정확성,0.44
추론,0.22
정보검색,0.22
형식준수,0.78
번역,0.12
방언,0.95
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Claude 2,
스킬,값
언어유창성,0.48
문법,0.25
담화조절,1.00
문화맥락,0.32
지식정확성,0.42
추론,0.26
정보검색,0.22
형식준수,0.75
번역,1.00
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
perplexity,
스킬,값
언어유창성,0.52
문법,0.12
담화조절,0.11
문화맥락,0.74
지식정확성,0.24
추론,0.30
정보검색,0.20
형식준수,0.21
번역,0.33
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Solar-Mini,
스킬,값
언어유창성,0.29
문법,0.25
담화조절,0.60
문화맥락,0.34
지식정확성,0.29
추론,0.25
정보검색,0.22
형식준수,0.19
번역,0.74
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Claude 3 Opus,
스킬,값
언어유창성,0.67
문법,0.25
담화조절,1.00
문화맥락,0.75
지식정확성,0.59
추론,0.52
정보검색,0.57
형식준수,0.70
번역,1.00
방언,0.05
코딩,0.00
도구사용,
안전성,
,
,
,
,
,
,
Meta-Llama-3-70B-Instruct,
스킬,값
언어유창성,0.33
문법,0.09
담화조절,0.66
