모델,점수,순위,참고
ChatGPT 4.5,94.7,1,[https://wikidocs.net/277775](https://wikidocs.net/277775)
Claude 3 Opus,89.5,2,[https://wikidocs.net/232992](https://wikidocs.net/232992)
Gemini 1.5 Pro,89.5,2,[https://wikidocs.net/273168](https://wikidocs.net/273168)
Claude 3.5 Sonnet,84.2,4,[https://wikidocs.net/274583](https://wikidocs.net/274583)
Claude 3.7 Sonnet,84.2,4,[https://wikidocs.net/277152](https://wikidocs.net/277152)
CLOVA X,84.2,4,[https://wikidocs.net/226117](https://wikidocs.net/226117)
Gemini 2.0 Flash,84.2,4,[https://wikidocs.net/274763](https://wikidocs.net/274763)
ChatGPT 4o,78.9,8,[https://wikidocs.net/239517](https://wikidocs.net/239517)
ChatGPT o3-mini,78.9,8,[https://wikidocs.net/274756](https://wikidocs.net/274756)
gemma-3-27b-it@q4_k_m,78.9,8,[https://wikidocs.net/278454](https://wikidocs.net/278454)
ChatGPT 4o mini,77.8,11,[https://wikidocs.net/273425](https://wikidocs.net/273425)
Gemini 2.0 Flash Experimental,77.8,11,[https://wikidocs.net/274581](https://wikidocs.net/274581)
Bard,76.5,13,[https://wikidocs.net/226057](https://wikidocs.net/226057)
Microsoft Copilot,73.7,14,[https://wikidocs.net/275109](https://wikidocs.net/275109)
ChatGPT(GPT-4),72.2,15,[https://wikidocs.net/226091](https://wikidocs.net/226091)
Grok 3,71.1,16,[https://wikidocs.net/276589](https://wikidocs.net/276589)
Grok 2,68.4,17,[https://wikidocs.net/276582](https://wikidocs.net/276582)
DeepSeek-V3,68.4,17,[https://wikidocs.net/274578](https://wikidocs.net/274578)
ChatGPT o1-mini,66.7,19,[https://wikidocs.net/273419](https://wikidocs.net/273419)
gemma-3-27b-it@q6_k,63.2,20,[https://wikidocs.net/278457](https://wikidocs.net/278457)
gemma-3-27b-it@q3_k_l,63.2,20,[https://wikidocs.net/278453](https://wikidocs.net/278453)
뤼튼(GPT-3.5),61.1,22,[https://wikidocs.net/226062](https://wikidocs.net/226062)
ChatGPT(GPT-3.5),61.1,22,[https://wikidocs.net/226053](https://wikidocs.net/226053)
Claude 2,61.1,22,[https://wikidocs.net/226357](https://wikidocs.net/226357)
Meta-Llama-3-70B-Instruct (시스템 프롬프트 사용),55.6,25,[https://wikidocs.net/237685](https://wikidocs.net/237685)
EXAONE-3.5-7.8B-Instruct-GGUF,47.4,27,[https://wikidocs.net/274703](https://wikidocs.net/274703)
Llama-3.3-70B-Instruct,47.4,27,[https://wikidocs.net/274775](https://wikidocs.net/274775)
Phi 4 (Q4),42.1,30,[https://wikidocs.net/273153](https://wikidocs.net/273153)
aya-expanse-8b-GGUF,42.1,30,[https://wikidocs.net/275824](https://wikidocs.net/275824)
DeepSeek-R1-Distill-Qwen-14B-GGUF,42.1,30,[https://wikidocs.net/274497](https://wikidocs.net/274497)
Phi 4 (FP16),36.1,34,[https://wikidocs.net/273307](https://wikidocs.net/273307)
perplexity,33.3,35,[https://wikidocs.net/226919](https://wikidocs.net/226919)
Bing 채팅,33.3,35,[https://wikidocs.net/226110](https://wikidocs.net/226110)
42dot_LLM,26.5,37,[https://wikidocs.net/226029](https://wikidocs.net/226029)
KULLM(구름) 5.8B,23.5,38,[https://wikidocs.net/226090](https://wikidocs.net/226090)
Meta-Llama-3-70B-Instruct,16.7,39,[https://wikidocs.net/237683](https://wikidocs.net/237683)
Meta-Llama-3-8B-Instruct-GGUF,11.1,40,[https://wikidocs.net/249312](https://wikidocs.net/249312)
DeepSeek DeepThink (R1),10.5,41,[https://wikidocs.net/274770](https://wikidocs.net/274770)
DeepSeek R1 Distill (Qwen 7B),5.3,42,[https://wikidocs.net/276624](https://wikidocs.net/276624)
