질문 번호,스킬명,가중치
1,언어유창성,0.5
1,형식준수,0.5
2,담화조절,0.5
2,형식준수,0.5
3,지식정확성,0.5
3,형식준수,0.5
4,지식정확성,0.5
4,형식준수,0.5
5,정보검색,0.5
5,지식정확성,0.5
6,언어유창성,0.5
6,문화맥락,0.5
7,언어유창성,0.5
7,문화맥락,0.5
8,언어유창성,0.5
8,형식준수,0.5
9,언어유창성,0.5
9,형식준수,0.5
10,추론,0.5
10,지식정확성,0.5
11,문법,0.5
11,언어유창성,0.5
12,번역,0.5
12,언어유창성,0.5
13,번역,0.5
13,담화조절,0.5
14,방언,0.33
14,문화맥락,0.33
14,언어유창성,0.33
15,추론,0.33
15,지식정확성,0.33
15,정보검색,0.33
16,담화조절,0.33
16,문법,0.33
16,형식준수,0.33
17,문화맥락,0.5
17,언어유창성,0.5
18,추론,0.5
18,지식정확성,0.5
19,추론,0.33
19,지식정확성,0.33
19,형식준수,0.33
20,코딩,0.5
20,지식정확성,0.5
21,추론,0.4
21,코딩,0.4
21,형식준수,0.2
22,도구사용,0.8
22,코딩,0.2
