질문 번호,질문 내용,평가 의도,이상적인 결과,v2 채점 기준,v2 배점,참고
1,"한국말 할 줄 알아?
","영어를 학습한 일부 LLM은 한국어를 못한다고 답하거나, 차별적인 언어를 쓸 수 없다고 답하기도 함","네, 저는 한국어를 할 수 있습니다.","1: 한국어를 할 수 있다는 취지의 답변을 완벽한 한국어만으로 출력
0.9: 한국어를 할 수 있다는 취지의 답변을 완벽한 한국어와 영어로 동시에 출력
0.7: 한국어를 할 수 있다는 취지의 답변을 대체로 정확한 한국어와 완벽한 영어로 동시에 출력
0.6: 한국어를 할 수 있다는 취지의 답변을 대체로 정확한 한국어만으로 출력
0.4: 한국어를 할 수 있다는 취지의 답변을 완벽한 영어만으로 출력
0.2: 한국어를 할 수 없다는 취지의 답변을 한국어나 영어로 출력
0: 맥락에 맞지 않거나 올바른 한국어 문장이 아니어서 이해할 수 없음",1,https://wikidocs.net/208922
2,"누구냐 너
",,저는 OOO입니다.(환각이 없어야 함),"1: LLM 또는 서비스 이름을 완벽한 한국어로 답변
0.8: LLM 또는 서비스 이름을 대체로 정확한 한국어로 답변
0.6: LLM 또는 서비스의 이름 없이 ""인공지능 챗봇"" 등으로 완벽한 한국어로 답변
0.4: LLM 또는 서비스의 이름 없이 ""인공지능 챗봇"" 등으로 영어 또는 부정확한 한국어로 답변
0.2: 다른 LLM의 이름을 답변(예: ChatGPT가 아님에도 자신이 ChatGPT라고 답변)
0: 이해할 수 없거나 맥락에 맞지 않는 답변",1,
3,"오늘이 며칠이지?
","환각이 발생하는지
실제 날짜 확인 가능한지",날짜를 알 수 없다고 답하거나 정확한 날짜를 답변,"1: 정확한 날짜를 답변
0.7: 하루 늦은 날짜를 답변
0.3: 날짜를 알 수 없다고 답변
0: 틀린 날짜를 답변",1,
4,"언제까지의 데이터를 학습했지?
",,언제까지의 지식을 갖고 있는지에 관해 납득할 만한 날짜를 답변(평가자가 정확히 알 수 없음),"1: 언제까지의 지식을 갖고 있는지에 관해 년월까지 완벽한 한국어로 명확히 답하며 문장이 논리정연함
0.9: 언제까지의 지식을 갖고 있는지에 관해 년월까지 대체로 정확한 한국어로 명확히 답하며 문장이 논리정연함
0.8: 언제까지의 지식을 갖고 있는지에 관해 년월까지 명확히 답하며 문장이 논리정연하지만 영어로 답변
0.7: 언제까지의 지식을 갖고 있는지에 관해 년월까지 완벽한 한국어로 명확히 답하지만 문장의 논리가 맞지 않음
0.6: 완벽한 한국어이지만, 명확한 시점을 답하지 않고 계속 학습 중이라고 답함
0.5: 대체로 정확한 한국어로, 명확한 시점을 답하지 않고 계속 학습 중이라고 답함
0.4: 최신 정보를 갖고 있지 않다고 답변
0.2: 맥락에 맞지 않거나 전혀 이해할 수 없는 답변
0: 현재 시점보다 미래의 날짜를 완벽한 한국어로 답변하거나, 로컬 모델이 ""지속적으로 업데이트""된다고 허위 답변",1,
5,"오늘 서울 날씨
",,모른다고 답하거나 정확하게 답변,"1: 현재 날씨를 정확한 출처를 가지고 완벽한 한국어로 답변
0.9: 현재 날씨를 정확한 출처를 가지고 대체로 정확한 한국어로 답변
0.8: 현재 날씨를 정확한 출처를 가지고 영어로 답변
0.7: 현재 날씨를 알 수 없지만, 평가 시점의 계절에 해당하는 한국의 일반적인 기후를 정확히 답변
0.6: 현재 날씨를 알 수 없으며 기상청 등에서 확인 가능하다고 완벽한 한국어로 답변
0.55: 현재 날씨를 알 수 없으며 기상청 등에서 확인 가능하다고 영어로 답변
0.5: 현재 날씨를 알 수 없다고 답변하며, 날씨를 쉽게 확인할 수 있는 방법을 알려주지 않음
0.4: 전혀 이해할 수 없거나 맥락에 맞지 않음
0.3: 틀린 답변을 하지만, 틀린 답변임을 사용자가 쉽게 알 수 있음
0.2: 출처가 정확하지만 현재 날씨가 아닌 일기 예보를 답변
0.1: 인터넷의 정확한 출처를 사용하였으나 중요한 기상 상태(눈, 비, 특보 등)를 누락
0: 완벽한 한국어로, 마치 정확한 답변인 것으로 오해할 만한 답변을 함(예: 잘못된 날짜의 예보를 검색한 경우, 인터넷에 접속하지 못하는 모델이 특정 날짜의 날씨와 온도까지 답하는 경우)",2,
6,'고구마'로 삼행시를 지어줘,,"각각 '고', '구', '마'로 시작하는 행이 있어야 함","1: 각각 '고', '구', '마'로 시작하는 행이 있는 삼행시
0.8: 각각 '고', '구', '마'로 시작하는 행이 있는 산문
0.7: 두 글자 이상 올바로 시작하는 삼행시
0.6: 세 줄로 된 시이지만 첫 글자 규칙을 지키지 않음
0.5: 세 줄로 된 산문이지만 첫 글자 규칙을 지키지 않음
0.4: 세 줄이 아닌 시
0.3: 4~5줄로 된 산문
0.2: 첫 글자 규칙을 전혀 지키지 않고 한두 문장으로 답변
0: 전혀 맥락에 맞지 않거나 무의미한 답변",1.5,
7,'포스트휴먼'으로 오행시를 지어줘,,"각각 '포', '스', '트', '휴', '먼'으로 시작하는 행이 있는 것이 이상적이나, 이어진 두 글자를 한 행에 쓰는 것은 허용","1: 각각 '포', '스', '트', '휴', '먼'으로 시작하는 행이 있음
0.8: 각각 '포', '스', '트', '휴', '먼'으로 시작하는 행이 있는 산문
0.7: 세 글자 이상 올바로 시작하는 사행시
0.5: 다섯 줄로 된 시이지만 첫 글자 규칙을 지키지 않음
0.4: 다섯 줄로 된 산문이지만 첫 글자 규칙을 지키지 않음
0.3: 다섯 줄이 아닌 시
0.2: 첫 글자 규칙을 지키지 않고 다섯 줄이 아닌 산문
0.1: 첫 글자 규칙을 전혀 지키지 않고 한두 문장으로 답변
0: 전혀 맥락에 맞지 않거나 무의미한 답변",1.5,
8,"끝말잇기를 하자. 내가 먼저 할게.

기차",,반드시 '차'로 시작하는 단어를 답변,"1: '차'로 시작하고 실제 존재하는 단어를 완벽한 한국어로 답변
0.9: '차'로 시작하는 복수의 단어를 완벽한 한국어로 답변하였으나 일부 틀린 단어가 섞여 있음
0.8: '차'로 시작하고 실제 존재하는 단어를 대체로 완벽한 한국어로 답변
0.7: '차'로 시작하고 실제 존재하는 단어를 영어로 답변
0.6: '차'로 시작하지만 한 단어가 아님
0.5: '차'로 시작하는 한 단어로 답했으나 존재하지 않는 단어임
0.4: 한 글자 ""차""로 답변
0.3: ""차""에 조사를 붙임(예: ""차는"")
0.2: 단어를 답했으나, 틀린 답변임을 사용자가 쉽게 알 수 있음(영어나 중국어로 설명하는 경우 등)
0.1: 전혀 맥락에 맞지 않는 답변
0: '차'로 시작하지 않는 단어를 완벽한 한국어로 답변",1.5,
9,"끝말잇기를 하자. 내가 먼저 할게.

칼슘
",,"'슘'으로 시작하는 단어를 답하거나, ""당신이 이겼습니다."" 또는 ""제가 졌습니다.""라고 답해도 됨. 존재하지 않는 단어를 지어내는 것도 허용.","1: ""슘페터""
0.9: 적절한 단어가 없어서, 사용자가 이겼다(챗봇이 졌다)고 답변
0.8: '슘'으로 시작하는, 실제 존재하지 않는 단어를 지어냄
0.6: 적절한 단어가 없다고 답변하나, 놀이라는 점을 고려하지 않고 사과함
0.3: 완전히 틀린 답임을 사용자가 쉽게 알 수 있음
0.2: 맥락에 전혀 맞지 않는 답변
0.1: 오작동(칼슘을 반복하는 경우 등)
0: 완전히 틀린 답을 완벽한 한국어로 답변",1.5,
10,"철수는 하루에 치킨 100마리를 튀기고 민수는 하루에 치킨 60마리를 튀긴다. 누가 더 일을 잘하지?
",,"근무 시간 등을 확인하지 못해 직접적인 비교가 어렵다고 답하거나, 단순히 철수가 일을 더 잘한다고 답변","1: 근무 시간 등을 확인하지 못해 직접적인 비교가 어렵지만 숫자만 보면 철수가 잘한다고 정확한 한국어로 답변
0.9: 근무 시간 등을 확인하지 못해 직접적인 비교가 어렵지만 숫자만 보면 철수가 잘한다고 대체로 정확한 한국어로 답변
0.8: 근무 시간 등을 확인하지 못해 직접적인 비교가 어렵다고만 답변
0.7: 단순히 철수가 일을 더 잘한다고 정확한 한국어로 답변
0.6: 단순히 철수가 일을 더 잘한다고 대체로 정확한 한국어로 답변
0.5: 단순히 철수가 일을 더 잘한다고 영어로 답변
0.4: 민수가 일을 더 잘한다고 한국어로 답변
0.3: 민수가 일을 더 잘한다고 영어로 답변
0.2: 계산을 근거로 들어 답변하나, 산수가 틀림
0: 맥락에 맞지 않음",2,https://wikidocs.net/209151
