모델명,언어유창성,문법,담화조절,문화맥락,지식정확성,추론,정보검색,형식준수,번역,방언,코딩,도구사용,안전성
42dot_LLM,0.19,0.10,0.42,0.21,0.10,0.05,0.09,0.25,0.06,0.08,0.00,0.00,
ChatGPT(GPT-3.5),0.34,0.19,0.41,0.30,0.36,0.15,0.22,0.73,0.00,0.08,0.00,0.00,
Bard,0.55,0.52,1.00,0.63,0.42,0.34,0.02,0.80,0.38,0.08,0.00,0.00,
뤼튼(GPT-3.5),0.31,0.26,1.00,0.23,0.42,0.19,0.22,0.81,0.38,0.08,0.00,0.00,
KULLM(구름) 5.8B,0.21,0.13,0.20,0.30,0.27,0.04,0.22,0.30,0.13,0.86,0.00,0.00,
ChatGPT(GPT-4),0.53,0.26,1.00,0.71,0.48,0.39,0.12,0.81,0.38,0.08,0.00,0.00,
Bing 채팅,0.39,0.26,0.68,0.40,0.33,0.07,0.16,0.79,0.13,0.91,0.00,0.00,
CLOVA X,0.70,0.26,0.68,0.99,0.45,0.26,0.22,0.79,0.13,0.95,0.00,0.00,
Claude 2,0.48,0.26,1.00,0.32,0.42,0.29,0.22,0.75,1.00,0.08,0.00,0.00,
perplexity,0.52,0.12,0.12,0.74,0.24,0.33,0.20,0.20,0.32,0.08,0.00,0.00,
Solar-Mini,0.29,0.26,0.60,0.33,0.29,0.28,0.22,0.19,0.75,0.08,0.00,0.00,
Claude 3 Opus,0.68,0.26,1.00,0.75,0.58,0.55,0.56,0.70,1.00,0.08,0.00,0.00,
Meta-Llama-3-70B-Instruct,0.31,0.10,0.65,0.33,0.23,0.18,0.19,0.29,0.62,0.08,0.00,0.00,
Meta-Llama-3-70B-Instruct (시스템 프롬프트 사용),0.34,0.26,0.91,0.59,0.39,0.29,0.22,0.30,0.63,0.08,0.00,0.00,
ChatGPT 4o,0.72,0.26,1.00,0.75,0.67,0.39,0.59,0.79,1.00,0.08,0.00,0.00,
Meta-Llama-3-8B-Instruct-GGUF,0.31,0.10,0.09,0.34,0.08,0.14,0.05,0.17,0.25,0.89,0.00,0.00,
Phi 4 (Q4),0.27,0.26,0.47,0.35,0.44,0.39,0.22,0.24,0.45,0.08,0.00,0.00,
Gemini 1.5 Pro,0.76,0.26,1.00,0.99,0.56,0.26,0.59,0.73,0.70,0.95,0.00,0.00,
Phi 4 (FP16),0.26,0.39,0.34,0.21,0.42,0.34,0.22,0.26,0.45,0.08,0.00,0.00,
ChatGPT o1-mini,0.50,0.26,0.68,0.53,0.53,0.43,0.22,0.79,0.45,0.08,0.00,0.00,
ChatGPT 4o mini,0.47,0.26,1.00,0.43,0.75,0.54,0.59,0.81,0.70,0.08,0.00,0.00,
Qwen2.5-14B-Instruct-GGUF,0.41,0.71,0.98,0.33,0.39,0.28,0.22,0.46,0.54,0.08,0.00,0.00,
DeepSeek-R1-Distill-Qwen-14B-GGUF,0.34,0.79,0.47,0.37,0.38,0.28,0.22,0.16,0.31,0.86,0.00,0.00,
DeepSeek-V3,0.56,0.26,1.00,0.75,0.35,0.39,0.22,0.28,1.00,0.08,0.00,0.00,
Gemini 2.0 Flash Experimental,0.72,0.79,1.00,0.66,0.41,0.54,0.18,0.68,0.63,0.95,0.00,0.00,
Claude 3.5 Sonnet,0.68,0.79,1.00,0.75,0.66,0.69,0.22,0.67,1.00,0.08,0.00,0.00,
EXAONE-3.5-7.8B-Instruct-GGUF,0.38,0.35,0.64,0.39,0.35,0.26,0.22,0.26,0.71,0.08,0.00,0.00,
ChatGPT o3-mini,0.57,0.20,0.92,0.53,0.68,0.72,0.22,0.87,1.00,0.08,0.00,0.00,
Gemini 2.0 Flash,0.71,0.26,0.70,0.98,0.67,0.39,0.59,0.60,0.70,0.94,0.00,0.00,
Solar-Pro,0.33,0.94,1.00,0.20,0.36,0.40,0.22,0.22,0.70,0.08,0.00,0.00,
