실제 답변의 COUNTA,질문 번호,,,,,,,,,,,,,,,,,,,,,,,
모델,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,총계
,0,,,,,,,,,,,,,,,,,,,,,,,0
42dot_LLM,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,,,,34
뤼튼(GPT-3.5),,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,18
A.X 4.0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,20
A.X-4.0-Light-gguf,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
aya-expanse-8b-GGUF,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
Bard,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,,,,34
Bing 채팅,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,18
ChatGPT 4.1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
ChatGPT 4.5,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
ChatGPT 4o,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
ChatGPT 4o mini,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,18
ChatGPT o1-mini,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,18
ChatGPT o3-mini,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
ChatGPT o4-mini,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,20
ChatGPT(GPT-3.5),,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,18
ChatGPT(GPT-4),,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,18
Claude 2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,18
Claude 3 Opus,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
Claude 3.5 Sonnet,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
Claude 3.7 Sonnet,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
Claude Opus 4.1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,21
Claude Sonnet 4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
CLOVA X,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
DeepSeek DeepThink (R1),,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
DeepSeek R1 Distill (Qwen 7B),,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
DeepSeek-R1-Distill-Qwen-14B-GGUF,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
DeepSeek-V3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
EXAONE-3.5-7.8B-Instruct-GGUF,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,38
EXAONE-4.0.1-32B,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
Gemini 1.5 Pro,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
Gemini 2.0 Flash,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,19
Gemini 2.0 Flash Experimental,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,18
