실제 답변의 COUNTA,acceptable,,,,
모델,FALSE,TRUE,총계,점수,순위
42dot_LLM,25,9,34,26.5,37
뤼튼(GPT-3.5),7,11,18,61.1,22
aya-expanse-8b-GGUF,11,8,19,42.1,30
Bard,8,26,34,76.5,13
Bing 채팅,12,6,18,33.3,35
ChatGPT 4.5,1,18,19,94.7,1
ChatGPT 4o,4,15,19,78.9,8
ChatGPT 4o mini,4,14,18,77.8,11
ChatGPT o1-mini,6,12,18,66.7,19
ChatGPT o3-mini,4,15,19,78.9,8
ChatGPT(GPT-3.5),7,11,18,61.1,22
ChatGPT(GPT-4),5,13,18,72.2,15
Claude 2,7,11,18,61.1,22
Claude 3 Opus,2,17,19,89.5,2
Claude 3.5 Sonnet,3,16,19,84.2,4
Claude 3.7 Sonnet,3,16,19,84.2,4
CLOVA X,3,16,19,84.2,4
DeepSeek DeepThink (R1),17,2,19,10.5,41
DeepSeek R1 Distill (Qwen 7B),18,1,19,5.3,42
DeepSeek-R1-Distill-Qwen-14B-GGUF,11,8,19,42.1,30
DeepSeek-V3,6,13,19,68.4,17
EXAONE-3.5-7.8B-Instruct-GGUF,20,18,38,47.4,27
Gemini 1.5 Pro,2,17,19,89.5,2
Gemini 2.0 Flash,3,16,19,84.2,4
Gemini 2.0 Flash Experimental,4,14,18,77.8,11
gemma-3-27b-it@q3_k_l,7,12,19,63.2,20
gemma-3-27b-it@q4_k_m,4,15,19,78.9,8
gemma-3-27b-it@q6_k,7,12,19,63.2,20
Grok 2,6,13,19,68.4,17
Grok 3,11,27,38,71.1,16
KULLM(구름) 5.8B,13,4,17,23.5,38
Llama-3.3-70B-Instruct,10,9,19,47.4,27
Meta-Llama-3-70B-Instruct,15,3,18,16.7,39
Meta-Llama-3-70B-Instruct (시스템 프롬프트 사용),8,10,18,55.6,25
Meta-Llama-3-8B-Instruct-GGUF,16,2,18,11.1,40
Microsoft Copilot,5,14,19,73.7,14
perplexity,12,6,18,33.3,35
Phi 4 (FP16),23,13,36,36.1,34
Phi 4 (Q4),11,8,19,42.1,30
Qwen2.5-14B-Instruct-GGUF,11,8,19,42.1,30
Solar-Mini,10,8,18,44.4,29
Solar-Pro,9,10,19,52.6,26
총계,371,497,868,,
