모델,위키독스 페이지,RTX 4090,공식 홈페이지,라이선스,VRAM 요구량(GB),오픈소스/오픈웨이트 여부,파인튜닝 가능 여부
42dot_LLM,https://wikidocs.net/226029,FALSE,https://42dot.ai/blog/178,CC BY-NC 4.0,약 3-4GB (FP16 기준),예 (오픈소스),예 (파인튜닝 가능)
ChatGPT(GPT-3.5),https://wikidocs.net/226053,FALSE,https://openai.com/chatgpt/,상업용 라이선스 (API 사용료 필요),직접 실행 불가 (API 전용),아니오,아니오
Bard,https://wikidocs.net/226057,FALSE,https://gemini.google.com/,API 사용료 기반 (무료 티어 제공),직접 실행 불가 (API 전용),아니오,아니오
뤼튼(GPT-3.5),https://wikidocs.net/226062,FALSE,https://wrtn.ai/,서비스 이용 약관 (무료/유료 티어),해당 없음 (클라우드 서비스),아니오,아니오
KULLM(구름) 5.8B,https://wikidocs.net/226090,TRUE,"https://huggingface.co/nlpai-lab/kullm-polyglot-5.8b-v2 (Hugging Face), https://github.com/nlpai-lab/KULLM (GitHub)",Apache 2.0,약 12-14GB (FP16 기준),예 (오픈소스),예 (파인튜닝 가능)
ChatGPT(GPT-4),https://wikidocs.net/226091,FALSE,https://openai.com/gpt-4/,상업용 라이선스 (API 사용료 필요),직접 실행 불가 (API 전용),아니오,아니오
Bing 채팅,https://wikidocs.net/226110,FALSE,https://www.microsoft.com/en-us/microsoft-copilot/,Microsoft 365 구독 또는 무료 티어,해당 없음 (클라우드 서비스),아니오,아니오
CLOVA X,https://wikidocs.net/226117,FALSE,https://clova-x.naver.com/,네이버 서비스 이용 약관,해당 없음 (클라우드 서비스),아니오,아니오
Claude 2,https://wikidocs.net/226357,FALSE,"https://www.anthropic.com/news/claude-2, https://claude.ai/",상업용 라이선스 (API 사용료 필요),해당 없음 (클라우드 서비스),아니오,아니오
perplexity,https://wikidocs.net/226919,FALSE,https://www.perplexity.ai/,서비스 이용 약관 (개인용 무료/Pro 유료),해당 없음 (클라우드 서비스),아니오,아니오
Solar-Mini,https://wikidocs.net/229911,FALSE,https://upstage.ai/blog/en/introducing-solar-mini-compact-yet-powerful,Apache 2.0,약 20-22GB (FP16 기준) / 3-4GB (4-bit 양자화),예 (오픈소스),예 (파인튜닝 가능)
Claude 3 Opus,https://wikidocs.net/232992,FALSE,"https://www.anthropic.com/news/claude-3-family, https://claude.ai/",상업용 라이선스 (API 사용료 필요),해당 없음 (클라우드 서비스),아니오,아니오
Meta-Llama-3-70B-Instruct,https://wikidocs.net/237683,FALSE,"https://ai.meta.com/blog/meta-llama-3/, https://huggingface.co/meta-llama/Meta-Llama-3-70B-Instruct",Meta Llama 3 Community License (상업적 사용 가능),약 140-210GB (FP16 기준) / 35GB (4-bit 양자화),예 (오픈소스),예 (파인튜닝 가능)
Meta-Llama-3-70B-Instruct (시스템 프롬프트 사용),https://wikidocs.net/237685,FALSE,"https://ai.meta.com/blog/meta-llama-3/, https://huggingface.co/meta-llama/Meta-Llama-3-70B-Instruct",Meta Llama 3 Community License (상업적 사용 가능),약 140-210GB (FP16 기준) / 35GB (4-bit 양자화),예 (오픈소스),예 (파인튜닝 가능)
ChatGPT 4o,https://wikidocs.net/239517,FALSE,https://openai.com/index/hello-gpt-4o/,상업용 라이선스 (API 사용료 필요),직접 실행 불가 (API 전용),아니오,아니오
